Key,Sinhala
MainTittle,පරමාර්ථ ධර්ම
PD1,චිත්තය89/121
PD2,චෛතසිතකය 
PD3,රූපය
PD4,නිර්වාණය
PD1-1,"කාමාවචර සිත් 54"
PD1-1-1,කාමාවචර අකුසල් සිත් 12 
PD1-1-1-1,ලෝබ මූල අකුසල් සිත් 08
PD1-1-1-1-1,සෝමනස්ස සහගත දෘෂ්ටිගත සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-1-1-2,සෝමනස්ස සහගත දෘෂ්ටිගත සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-1-1-3,සෝමනස්ස සහගත දෘෂ්ටිගත විප්‍රයුක්ත අසංකාරික සිත
PD1-1-1-1-4,සෝමනස්ස සහගත දෘෂ්ටිගත විප්‍රයුක්ත සංකාරික සිත
PD1-1-1-1-5,උපේක්ඛා සහගත දෘෂ්ටිගත සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-1-1-6,උපේක්ඛා සහගත දෘෂ්ටිගත සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-1-1-7,උපේක්ඛා සහගත දෘෂ්ටිගත විප්‍රයුක්ත අසංකාරික සිත
PD1-1-1-1-8,උපේක්ඛා සහගත දෘෂ්ටිගත විප්‍රයුක්ත සංකාරික සිත
PD1-1-1-2,ද්වේෂ මූල අකුසල් සිත් 02
PD1-1-1-2-1,දෝමනස්ස සහගත ප්‍රතිඝ සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-1-2-2,දෝමනස්ස සහගත ප්‍රතිඝ සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-1-3,මෝහ මූල අකුසල් සිත් 02
PD1-1-1-3-1,උපේක්ඛා සහගත විචිකිත්සා සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-1-3-2,උපේක්ඛා සහගත ඖධත්‍ය සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-2,කාමාවචර අහේතුක සිත් 18
PD1-1-2-1,කාමාවචර අහේතුක අකුසල විපාක 07
PD1-1-2-1-1,උපේක්ඛා සහගත චක්ඛු විඤ්ඤාණය
PD1-1-2-1-2,උපේක්ඛා සහගත සෝත විඤ්ඤාණය
PD1-1-2-1-3,උපේක්ඛා සහගත ඝාන විඤ්ඤාණය
PD1-1-2-1-4,උපේක්ඛා සහගත ජිව්හා විඤ්ඤාණය
PD1-1-2-1-5,දුක්ඛ සහගත කාය විඤ්ඤාණය
PD1-1-2-1-6,උපේක්ඛා සහගත සම්පටිච්ඡනය
PD1-1-2-1-7,උපේක්ඛා සහගත සංතීරණය
PD1-1-2-2,කාමාවචර අහේතුක කුසල විපාක 08
PD1-1-2-2-1,උපේක්ඛා සහගත චක්ඛු විඤ්ඤාණය
PD1-1-2-2-2,උපේක්ඛා සහගත සෝත විඤ්ඤාණය
PD1-1-2-2-3,උපේක්ඛා සහගත ඝාන විඤ්ඤාණය
PD1-1-2-2-4,උපේක්ඛා සහගත ජිව්හා විඤ්ඤාණය
PD1-1-2-2-5,සුඛ සහගත කාය විඤ්ඤාණය
PD1-1-2-2-6,උපේක්ඛා සහගත සම්පටිච්ඡනය
PD1-1-2-2-7,සෝමනස්ස සහගත සංතීරණය
PD1-1-2-2-8,උපේක්ඛා සහගත සංතීරණය
PD1-1-2-3,කාමාවචර අහේතුක ක්‍රියා සිත් 03
PD1-1-2-3-1,උපේක්ඛා සහගත පඤ්චද්වාරාවර්ජනය
PD1-1-2-3-2,උපේක්ඛා සහගත මනෝද්වාරාවර්ජනය
PD1-1-2-3-3,සෝමනස්ස චක්ඛු හසිතුප්පාදය
PD1-1-3,කාමාවචර සෝභන සිත් 24
PD1-1-3-1,කාමාවචර කුසල සිත් 08
PD1-1-3-1-1,සෝමනස්ස සහගත ඤාණ සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-1-2,සෝමනස්ස සහගත ඤාණ සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-3-1-3,සෝමනස්ස සහගත ඤාණ විප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-1-4,සෝමනස්ස සහගත ඤාණ විප්‍රයුක්ත සංකාරික සිත
PD1-1-3-1-5,උපේක්ඛා සහගත ඤාණ සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-1-6,උපේක්ඛා සහගත ඤාණ සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-3-1-7,උපේක්ඛා සහගත ඤාණ විප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-1-8,උපේක්ඛා සහගත ඤාණ විප්‍රයුක්ත සංකාරික සිත
PD1-1-3-2,සහේතුක කාමාවචර විපාක සිත් 08
PD1-1-3-2-1,සෝමනස්ස සහගත ඤාණ සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-2-2,සෝමනස්ස සහගත ඤාණ සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-3-2-3,සෝමනස්ස සහගත ඤාණ විප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-2-4,සෝමනස්ස සහගත ඤාණ විප්‍රයුක්ත සංකාරික සිත
PD1-1-3-2-5,උපේක්ඛා සහගත ඤාණ සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-2-6,උපේක්ඛා සහගත ඤාණ සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-3-2-7,උපේක්ඛා සහගත ඤාණ විප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-2-8,උපේක්ඛා සහගත ඤාණ විප්‍රයුක්ත සංකාරික සිත
PD1-1-3-3,සහේතුක කාමාවචර ක්‍රියා සිත් 08
PD1-1-3-3-1,සෝමනස්ස සහගත ඤාණ සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-3-2,සෝමනස්ස සහගත ඤාණ සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-3-3-3,සෝමනස්ස සහගත ඤාණ විප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-3-4,සෝමනස්ස සහගත ඤාණ විප්‍රයුක්ත සංකාරික සිත
PD1-1-3-3-5,උපේක්ඛා සහගත ඤාණ සම්ප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-3-6,උපේක්ඛා සහගත ඤාණ සම්ප්‍රයුක්ත සංකාරික සිත
PD1-1-3-3-7,උපේක්ඛා සහගත ඤාණ විප්‍රයුක්ත අසංකාරික සිත
PD1-1-3-3-8,උපේක්ඛා සහගත ඤාණ විප්‍රයුක්ත සංකාරික සිත
PD1-2,රූපාවචර (ධ්‍යාන) සිත් 15
PD1-2-1,රූපාවචර කුසල් සිත් 05
PD1-2-1-1,විතර්ක විචාර ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත ප්‍රථම ධ්‍යාන කුසල සිත
PD1-2-1-2,විචාර ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත ද්විතීය ධ්‍යාන කුසල සිත
PD1-2-1-3,ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත තෘතීය ධ්‍යාන කුසල සිත
PD1-2-1-4,සුඛ ඒකාග්‍රතා සහිත චතුර්ථ ධ්‍යාන කුසල සිත
PD1-2-1-5,උපේක්ෂා ඒකාග්‍රතා සහිත පඤ්චම ධ්‍යාන කුසල සිත
PD1-2-2,රූපාවචර විපාක සිත් 05
PD1-2-2-1,විතර්ක විචාර ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත ප්‍රථම ධ්‍යාන විපාක සිත
PD1-2-2-2,විචාර ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත ද්විතීය ධ්‍යාන විපාක සිත
PD1-2-2-3,ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත තෘතීය ධ්‍යාන විපාක සිත
PD1-2-2-4,සුඛ ඒකාග්‍රතා සහිත චතුර්ථ ධ්‍යාන විපාක සිත
PD1-2-2-5,උපේක්ෂා ඒකාග්‍රතා සහිත පඤ්චම ධ්‍යාන විපාක සිත
PD1-2-3,රූපාවචර ක්‍රීයා සිත් 05
PD1-2-3-1,විතර්ක විචාර ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත ප්‍රථම ධ්‍යාන ක්‍රියා සිත
PD1-2-3-2,විචාර ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත ද්විතීය ධ්‍යාන ක්‍රියා සිත
PD1-2-3-3,ප්‍රිතී සුඛ ඒකාග්‍රතා සහිත තෘතීය ධ්‍යාන ක්‍රියා සිත
PD1-2-3-4,සුඛ ඒකාග්‍රතා සහිත චතුර්ථ ධ්‍යාන ක්‍රියා සිත
PD1-2-3-5,උපේක්ෂා ඒකාග්‍රතා සහිත පඤ්චම ධ්‍යාන ක්‍රියා සිත
PD1-3,අරූපාවචර සිත් 12
PD1-3-1,අරූපාවචර කුසල් සිත් 04
PD1-3-1-1,ආකාසානඤ්චායතනය කුසල් සිත
PD1-3-1-2,විඤ්ඤාණඤ්චායතන කුසල් සිත
PD1-3-1-3,ආකිඤ්චඤ්ඤායතන කුසල් සිත
PD1-3-1-4,නේවසඤ්ඤා නාසඤ්ඤායතන කුසල් සිත
PD1-3-2,අරූපාවචර විපාක සිත් 04 
PD1-3-2-1,ආකාසානඤ්චායතනය විපාක සිත
PD1-3-2-2,විඤ්ඤාණඤ්චායතන විපාක සිත
